USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY,,,,,,,
5,4.7099,5,4,4,4,5,5,,,,,,,
1,0.971,4,4,4,1,1,1,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.9852,4,4,5,5,5,4,,,,,,,
5,4.9274,4,4,4,5,5,5,,,,,,,
5,4.1558,4,4,4,5,4,4,,,,,,,
5,4.606,4,5,4,4,5,4,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.9852,4,4,5,5,5,4,,,,,,,
5,4.7677,5,5,5,4,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.8716,4,4,5,4,5,5,,,,,,,
4,3.6727,4,4,3,4,4,3,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
4,4.2826,4,4,2,4,5,4,,,,,,,
5,5.0891,5,4,5,5,5,5,,,,,,,
5,4.9852,4,4,5,5,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.4214,5,5,5,5,4,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
4,3.4552,4,5,3,3,4,3,,,,,,,
5,4.9274,4,5,4,5,5,5,,,,,,,
3,3.5591,3,4,3,3,4,4,,,,,,,
4,4.2597,4,5,4,5,4,5,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
2,1.4501,4,4,1,4,1,4,,,,,,,
3,4.8716,4,4,5,4,5,5,,,,,,,
5,4.606,5,4,4,4,5,4,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
4,3.8344,5,4,4,4,4,3,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,3.9383,4,4,4,4,4,4,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.8235,4,4,4,5,5,4,,,,,,,
5,4.606,5,4,4,4,5,4,,,,,,,
4,3.9383,4,4,4,4,4,4,,,,,,,
3,3.1089,4,5,3,4,3,4,,,,,,,
4,4.7099,5,4,4,4,5,5,,,,,,,
4,4.7099,4,4,4,4,5,5,,,,,,,
4,4.7657,4,5,3,5,5,5,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
4,3.8344,4,4,4,4,4,3,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
2,2.6029,2,3,4,4,2,4,,,,,,,
4,4.606,5,5,4,4,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.9852,5,5,5,5,5,4,,,,,,,
4,3.8805,5,5,3,4,4,5,,,,,,,
4,4.9274,5,5,4,5,5,5,,,,,,,
4,3.4552,5,5,3,3,4,3,,,,,,,
3,3.1089,4,5,3,4,3,4,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
2,2.7394,2,4,2,4,3,2,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
3,4.4443,4,4,3,4,5,4,,,,,,,
5,4.606,4,5,4,4,5,4,,,,,,,
3,4.2826,4,4,2,4,5,4,,,,,,,
1,2.6181,1,4,4,1,3,4,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,4.3885,4,5,4,3,5,4,,,,,,,
5,4.606,4,4,4,4,5,4,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
4,3.2706,5,4,4,4,3,4,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,4.606,4,5,4,4,5,4,,,,,,,
5,4.606,5,4,4,4,5,4,,,,,,,
4,3.1089,5,4,3,4,3,4,,,,,,,
4,4.3885,4,5,4,3,5,4,,,,,,,
4,3.9383,4,4,4,4,4,4,,,,,,,
4,4.9852,5,5,5,5,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
3,3.3416,4,5,3,2,4,4,,,,,,,
4,3.5591,4,4,3,3,4,4,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
3,2.7875,4,4,3,3,3,3,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,3.9383,5,4,4,4,4,4,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,4.7677,4,5,5,4,5,4,,,,,,,
5,3.9383,4,4,4,4,4,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.7099,5,5,4,4,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
3,2.7875,3,4,3,3,3,3,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.2597,4,5,4,5,4,5,,,,,,,
4,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,3.9383,4,4,4,4,4,4,,,,,,,
3,2.5122,3,4,2,2,3,4,,,,,,,
4,4.606,4,4,4,4,5,4,,,,,,,
5,4.9274,4,4,4,5,5,5,,,,,,,
3,3.5591,4,4,3,3,4,4,,,,,,,
5,4.7677,4,5,5,4,5,4,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
2,2.8685,4,4,5,4,2,5,,,,,,,
5,4.7677,4,5,5,4,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.2039,5,5,5,4,4,5,,,,,,,
4,4.9852,5,4,5,5,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,3.7766,4,4,3,4,4,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.5579,5,5,3,5,5,3,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
2,3.0299,5,4,3,2,4,1,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
3,3.2935,4,4,2,3,4,3,,,,,,,
3,3.663,4,5,3,3,4,5,,,,,,,
3,3.6727,4,4,3,4,4,3,,,,,,,
4,4.7677,4,5,5,4,5,4,,,,,,,
5,4.8716,4,4,5,4,5,5,,,,,,,
5,4.9852,4,4,5,5,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.606,4,5,4,4,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.0422,4,5,4,4,4,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
1,1.6235,4,5,4,4,1,1,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
4,4.0422,4,4,4,4,4,5,,,,,,,
5,4.9852,4,4,5,5,5,4,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
4,4.5021,4,5,4,4,5,3,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.8716,4,4,5,4,5,5,,,,,,,
4,3.7766,4,4,3,4,4,4,,,,,,,
2,2.7317,4,4,4,2,3,3,,,,,,,
3,2.2466,3,3,1,2,3,3,,,,,,,
4,4.8235,5,4,4,5,5,4,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,5.0891,5,4,5,5,5,5,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
5,4.8235,4,4,4,5,5,4,,,,,,,
5,4.7677,4,5,5,4,5,4,,,,,,,
5,4.7099,5,4,4,4,5,5,,,,,,,
3,4.3404,4,4,3,4,5,3,,,,,,,
5,3.9383,4,4,4,4,4,4,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
2,2.9472,4,4,2,4,3,4,,,,,,,
5,3.9383,4,4,4,4,4,4,,,,,,,
5,4.606,4,5,4,4,5,4,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
5,4.8716,4,4,5,4,5,5,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
3,3.1089,4,4,3,4,3,4,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
2,1.7735,4,4,3,4,1,4,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,4.7099,4,4,4,4,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.606,4,5,4,4,5,4,,,,,,,
5,4.4924,4,4,4,3,5,5,,,,,,,
5,4.8716,4,4,5,4,5,5,,,,,,,
2,2.2795,4,5,2,4,2,4,,,,,,,
5,4.7099,5,4,4,4,5,5,,,,,,,
5,4.7099,4,4,4,4,5,5,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
5,4.9852,4,4,5,5,5,4,,,,,,,
4,3.9383,4,4,4,4,4,4,,,,,,,
4,4.606,5,4,4,4,5,4,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.8716,4,4,5,4,5,5,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
5,4.8235,5,4,4,5,5,4,,,,,,,
5,4.8235,4,4,4,5,5,4,,,,,,,
5,3.9383,4,5,4,4,4,4,,,,,,,
5,4.8235,4,5,4,5,5,4,,,,,,,
5,4.1558,4,5,4,5,4,4,,,,,,,
4,4.7099,5,4,4,4,5,5,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.7099,4,5,4,4,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.8235,5,4,4,5,5,4,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.9852,4,4,5,5,5,4,,,,,,,
4,4.1,4,4,5,4,4,4,,,,,,,
4,3.9383,5,4,4,4,4,4,,,,,,,
5,4.7677,4,4,5,4,5,4,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,4.7677,4,4,5,4,5,4,,,,,,,
5,4.8716,4,4,5,4,5,5,,,,,,,
5,4.7677,4,4,5,4,5,4,,,,,,,
4,3.9383,4,5,4,4,4,4,,,,,,,
5,4.7677,5,4,5,4,5,4,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
5,4.7099,4,5,4,4,5,5,,,,,,,
3,3.2706,4,5,4,4,3,4,,,,,,,
2,2.8914,4,4,3,3,3,4,,,,,,,
5,4.606,5,4,4,4,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.2597,5,5,4,5,4,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.7099,5,5,4,4,5,5,,,,,,,
5,3.9383,4,5,4,4,4,4,,,,,,,
4,4.606,4,5,4,4,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,4.2385,5,5,5,3,5,1,,,,,,,
4,3.663,4,3,3,3,4,5,,,,,,,
4,4.2039,5,5,5,4,4,5,,,,,,,
4,3.9383,4,5,4,4,4,4,,,,,,,
3,4.606,4,5,4,4,5,4,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
4,3.9383,5,4,4,4,4,4,,,,,,,
5,4.7677,4,5,5,4,5,4,,,,,,,
5,4.606,4,5,4,4,5,4,,,,,,,
5,4.9852,4,4,5,5,5,4,,,,,,,
5,4.3982,4,4,4,4,5,2,,,,,,,
5,4.606,5,5,4,4,5,4,,,,,,,
5,4.9274,4,4,4,5,5,5,,,,,,,
4,3.9383,4,5,4,4,4,4,,,,,,,
3,4.0651,3,4,2,3,5,4,,,,,,,
3,2.2795,3,5,2,4,2,4,,,,,,,
5,4.7657,5,5,3,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,4.9274,4,4,4,5,5,5,,,,,,,
5,4.9274,5,5,4,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
5,5.0891,5,5,5,5,5,5,,,,,,,
